!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'					
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Compound:Identifiers:kegg.compound
catalytic rate constant geometric mean	R_EX_succ_e		5.051	1/s	
catalytic rate constant geometric mean	R_EX_rib__D_e		4.731	1/s	
catalytic rate constant geometric mean	R_EX_fum_e		4.759	1/s	
catalytic rate constant geometric mean	R_EX_glu__L_e		5.037	1/s	
catalytic rate constant geometric mean	R_ENO		54.95	1/s	
catalytic rate constant geometric mean	R_FBA		50.56	1/s	
catalytic rate constant geometric mean	R_HCO3E		14.54	1/s	
catalytic rate constant geometric mean	R_IMPC		4.263	1/s	
catalytic rate constant geometric mean	R_IMPD		1.318	1/s	
catalytic rate constant geometric mean	R_PPS		31.63	1/s	
catalytic rate constant geometric mean	R_PGI		104.8	1/s	
catalytic rate constant geometric mean	R_PGK		44.76	1/s	
catalytic rate constant geometric mean	R_PGL		164.7	1/s	
catalytic rate constant geometric mean	R_RPE		12.34	1/s	
catalytic rate constant geometric mean	R_DHQTi		153.3	1/s	
catalytic rate constant geometric mean	R_IPMD		44.37	1/s	
catalytic rate constant geometric mean	R_AIRC3		10.52	1/s	
catalytic rate constant geometric mean	R_TALA		8.003	1/s	
catalytic rate constant geometric mean	R_ADSL2r		2.931	1/s	
catalytic rate constant geometric mean	R_TKT1		12.75	1/s	
catalytic rate constant geometric mean	R_RNDR1		4.787	1/s	
catalytic rate constant geometric mean	R_ALCD2x		1.075	1/s	
catalytic rate constant geometric mean	R_RNDR3		6.575	1/s	
catalytic rate constant geometric mean	R_RNDR4		0.2029	1/s	
catalytic rate constant geometric mean	R_TMDS		14.73	1/s	
catalytic rate constant geometric mean	R_EX_glc__D_e		4.778	1/s	
catalytic rate constant geometric mean	R_DHAD1		170.1	1/s	
catalytic rate constant geometric mean	R_IPPMIa		2.35	1/s	
catalytic rate constant geometric mean	R_MDH		16.82	1/s	
catalytic rate constant geometric mean	R_FUM		11.13	1/s	
catalytic rate constant geometric mean	R_EX_fru_e		4.749	1/s	
catalytic rate constant geometric mean	R_EX_xyl__D_e		4.027	1/s	
catalytic rate constant geometric mean	R_KARA1		2.318	1/s	
catalytic rate constant geometric mean	R_KARA2		0.4348	1/s	
catalytic rate constant geometric mean	R_EX_for_e		4.774	1/s	
catalytic rate constant geometric mean	R_ACCOAC		5.655	1/s	
catalytic rate constant geometric mean	R_KAS14		3.01	1/s	
catalytic rate constant geometric mean	R_ARGSS		2.558	1/s	
catalytic rate constant geometric mean	R_AGPR		3.262	1/s	
catalytic rate constant geometric mean	R_ICL		5.867	1/s	
catalytic rate constant geometric mean	R_EX_acald_e		4.689	1/s	
catalytic rate constant geometric mean	R_GLYCL		9.268	1/s	
catalytic rate constant geometric mean	R_XYLI1		1.141	1/s	
catalytic rate constant geometric mean	R_PPC		97.63	1/s	
catalytic rate constant geometric mean	R_G3PT		7.909	1/s	
catalytic rate constant geometric mean	R_SADT2		3.621	1/s	
catalytic rate constant geometric mean	R_AACPS1		1.225	1/s	
catalytic rate constant geometric mean	R_GHMT2r		1.991	1/s	
catalytic rate constant geometric mean	R_DHORD2		491.9	1/s	
catalytic rate constant geometric mean	R_SDPDS		30.76	1/s	
catalytic rate constant geometric mean	R_EX_lac__D_e		4.565	1/s	
catalytic rate constant geometric mean	R_UMPK		5.443	1/s	
